image,prediction,confidence (%)
10748.jpg,street,98.77902
10749.jpg,street,69.787506
10755.jpg,forest,99.99924
10758.jpg,street,99.97272
1076.jpg,forest,99.956604
10760.jpg,glacier,98.90647
10762.jpg,glacier,99.989914
10764.jpg,street,99.965225
10768.jpg,forest,99.99369
10769.jpg,glacier,39.169724
10771.jpg,street,93.88154
10782.jpg,buildings,90.47177
10785.jpg,mountain,89.554146
10797.jpg,buildings,63.492382
10799.jpg,mountain,82.62554
10806.jpg,glacier,99.70176
10807.jpg,street,78.73317
1081.jpg,buildings,99.55534
10813.jpg,sea,99.99525
10814.jpg,street,98.063446
10816.jpg,glacier,87.07475
10817.jpg,street,99.80198
10818.jpg,street,99.760254
10819.jpg,glacier,76.03735
1082.jpg,buildings,80.659904
10823.jpg,buildings,99.99315
10829.jpg,forest,99.9944
1083.jpg,street,99.998436
10830.jpg,street,99.98394
10836.jpg,glacier,99.99704
10839.jpg,glacier,99.636856
1084.jpg,buildings,99.978
10843.jpg,buildings,86.678604
10844.jpg,sea,88.75151
10855.jpg,buildings,99.66349
10858.jpg,forest,99.95495
1086.jpg,glacier,93.31843
10860.jpg,street,97.995514
10864.jpg,glacier,99.41889
10866.jpg,sea,99.98495
10869.jpg,mountain,78.1059
10871.jpg,street,99.9943
10873.jpg,forest,99.99786
10875.jpg,glacier,60.842144
10879.jpg,forest,99.92193
10880.jpg,buildings,99.95633
10885.jpg,glacier,84.713
10888.jpg,mountain,95.05217
10890.jpg,mountain,99.94334
10893.jpg,sea,87.69404
10894.jpg,sea,99.92637
10897.jpg,glacier,99.9728
10901.jpg,glacier,65.18736
10905.jpg,sea,99.678185
10906.jpg,street,99.95321
10910.jpg,forest,98.940384
10913.jpg,street,57.923615
10914.jpg,buildings,99.9968
10918.jpg,sea,91.36355
10919.jpg,glacier,98.681984
1092.jpg,glacier,99.72315
10920.jpg,street,93.50495
10923.jpg,forest,99.98743
10930.jpg,sea,99.97608
10931.jpg,buildings,99.999916
10933.jpg,mountain,99.7516
10934.jpg,buildings,98.780235
10939.jpg,mountain,57.40085
10944.jpg,glacier,99.58489
10945.jpg,buildings,99.99367
10949.jpg,street,97.13098
1095.jpg,mountain,94.21235
10952.jpg,buildings,99.95149
10956.jpg,mountain,99.02296
10957.jpg,glacier,93.51343
10960.jpg,buildings,99.27382
10964.jpg,glacier,95.11202
10968.jpg,street,91.46465
10969.jpg,glacier,99.92429
10976.jpg,buildings,99.99915
10979.jpg,mountain,68.15527
10981.jpg,mountain,99.82475
10987.jpg,buildings,53.910065
10988.jpg,glacier,96.36457
10989.jpg,forest,99.99818
10991.jpg,forest,99.99428
10998.jpg,forest,99.99915
10999.jpg,street,99.49454
11.jpg,sea,85.86066
110.jpg,mountain,83.78356
11000.jpg,sea,87.22808
11001.jpg,mountain,43.553562
11005.jpg,buildings,61.43609
11009.jpg,glacier,99.96315
1101.jpg,street,99.99994
11012.jpg,street,88.96018
11013.jpg,sea,95.93753
11014.jpg,street,99.99571
11015.jpg,mountain,93.00865
11017.jpg,mountain,82.61025
1102.jpg,sea,59.782856
11021.jpg,forest,99.92781
11022.jpg,sea,99.97465
11025.jpg,glacier,97.088974
11031.jpg,sea,92.238205
11038.jpg,buildings,99.85868
11059.jpg,mountain,84.35727
11061.jpg,forest,99.989494
11065.jpg,glacier,99.925644
11067.jpg,glacier,81.86821
11071.jpg,sea,50.792133
11073.jpg,buildings,88.13399
11078.jpg,buildings,99.9936
11079.jpg,sea,88.847984
11082.jpg,buildings,99.99944
11087.jpg,forest,99.99407
1109.jpg,street,98.58147
11091.jpg,street,99.52054
11101.jpg,forest,99.99764
11102.jpg,sea,98.971344
11103.jpg,glacier,51.179134
11104.jpg,street,99.97341
11105.jpg,forest,94.32032
11109.jpg,street,99.700134
11115.jpg,mountain,82.884476
11119.jpg,street,96.84044
11120.jpg,sea,98.95376
11121.jpg,mountain,99.571106
11123.jpg,sea,99.877914
11126.jpg,sea,99.9996
1113.jpg,sea,99.48409
11130.jpg,street,94.68396
11135.jpg,street,87.19144
11137.jpg,glacier,82.73793
1114.jpg,street,99.98389
11145.jpg,street,53.56027
11147.jpg,street,99.19034
11153.jpg,glacier,99.999596
11155.jpg,glacier,99.76872
11158.jpg,mountain,96.397736
11159.jpg,street,99.977615
11163.jpg,sea,99.72235
11166.jpg,mountain,99.44462
11167.jpg,mountain,97.84541
11170.jpg,street,99.87982
11172.jpg,sea,63.109905
11174.jpg,sea,99.70999
11175.jpg,buildings,67.659004
11179.jpg,street,99.96278
1119.jpg,sea,62.232685
11191.jpg,street,99.99895
11192.jpg,glacier,94.23197
11193.jpg,mountain,58.979122
11194.jpg,street,99.92823
11195.jpg,glacier,95.70491
11201.jpg,sea,99.95483
11205.jpg,buildings,99.99843
11208.jpg,forest,99.99689
11210.jpg,buildings,99.9908
11214.jpg,buildings,93.24438
11216.jpg,street,99.92343
11222.jpg,sea,99.961494
11224.jpg,buildings,54.05394
11227.jpg,buildings,99.940285
1123.jpg,sea,94.24402
11230.jpg,sea,99.226166
11240.jpg,forest,99.998856
11242.jpg,glacier,99.42589
11243.jpg,glacier,97.12978
11245.jpg,buildings,72.48965
11248.jpg,glacier,99.99281
1125.jpg,glacier,91.006065
11250.jpg,street,89.78624
11252.jpg,sea,99.10146
11256.jpg,forest,99.84222
11258.jpg,street,99.96736
11260.jpg,mountain,99.09099
11269.jpg,sea,99.89208
11273.jpg,street,87.860374
11285.jpg,buildings,99.999954
11298.jpg,street,99.98172
11299.jpg,glacier,98.19489
1130.jpg,glacier,90.83052
11301.jpg,glacier,99.67968
11308.jpg,mountain,84.68411
11318.jpg,sea,96.186714
11322.jpg,street,99.86696
11324.jpg,glacier,97.63826
11328.jpg,mountain,99.724785
11330.jpg,forest,99.960365
11335.jpg,street,93.41699
11337.jpg,forest,99.96312
11341.jpg,glacier,54.407608
11353.jpg,mountain,83.7408
11356.jpg,mountain,99.89211
11357.jpg,mountain,99.760506
1136.jpg,buildings,67.69906
11361.jpg,glacier,99.92454
11370.jpg,street,99.988686
11386.jpg,sea,99.99315
11391.jpg,mountain,59.04201
11392.jpg,glacier,99.82582
11394.jpg,mountain,62.032066
11397.jpg,buildings,83.42284
11399.jpg,buildings,99.61183
11403.jpg,forest,99.997185
11408.jpg,glacier,88.26105
1141.jpg,glacier,99.24748
11411.jpg,street,99.34323
11420.jpg,street,99.997536
11422.jpg,glacier,99.97136
11423.jpg,glacier,96.29868
11427.jpg,buildings,83.89724
1143.jpg,forest,99.88592
11430.jpg,mountain,99.76284
11431.jpg,street,99.87966
11433.jpg,glacier,95.25961
11435.jpg,mountain,58.464962
11443.jpg,street,54.67895
11444.jpg,forest,99.988686
11445.jpg,glacier,99.508026
11449.jpg,street,65.45843
11454.jpg,glacier,76.542725
11461.jpg,sea,99.90743
11462.jpg,mountain,99.75292
11463.jpg,mountain,64.13524
11478.jpg,sea,99.979836
11481.jpg,sea,97.93288
11485.jpg,mountain,97.84967
11486.jpg,street,99.03543
11488.jpg,buildings,99.97407
11496.jpg,sea,99.647835
1150.jpg,street,83.830284
11500.jpg,mountain,81.71931
11501.jpg,mountain,97.885544
11509.jpg,forest,99.99913
11511.jpg,glacier,58.13182
11517.jpg,forest,99.99941
11520.jpg,street,55.810757
11521.jpg,mountain,97.30605
11525.jpg,sea,87.97785
11527.jpg,street,99.88741
11529.jpg,glacier,98.52642
11531.jpg,street,52.704136
11533.jpg,buildings,97.93253
11538.jpg,mountain,98.60508
11540.jpg,sea,98.18236
11546.jpg,mountain,94.12701
11547.jpg,forest,99.994576
11548.jpg,glacier,95.939125
11549.jpg,glacier,92.891914
11551.jpg,sea,99.63688
11564.jpg,street,99.97814
11565.jpg,glacier,63.64677
11566.jpg,buildings,99.99941
11571.jpg,glacier,66.172226
11572.jpg,street,50.207455
11573.jpg,buildings,99.999985
11574.jpg,street,99.939415
11575.jpg,forest,99.83348
11576.jpg,sea,58.896984
11577.jpg,sea,96.51618
1158.jpg,glacier,61.216682
11580.jpg,buildings,99.998795
11581.jpg,street,83.03784
11584.jpg,buildings,97.02996
11585.jpg,glacier,70.35261
11588.jpg,street,99.86082
11589.jpg,forest,99.84987
11593.jpg,buildings,99.81734
11596.jpg,sea,99.90804
11603.jpg,mountain,55.994926
11607.jpg,sea,66.37562
11615.jpg,mountain,51.185043
11617.jpg,forest,92.31289
11619.jpg,mountain,89.37516
1162.jpg,glacier,97.46318
11623.jpg,forest,99.99894
11633.jpg,street,99.97488
11634.jpg,buildings,99.300064
11638.jpg,sea,99.614395
1164.jpg,street,99.63994
11643.jpg,glacier,99.97909
11645.jpg,mountain,61.49723
11648.jpg,glacier,99.633644
11651.jpg,mountain,83.263435
1166.jpg,sea,99.804756
11666.jpg,forest,99.97272
11668.jpg,forest,99.914894
11671.jpg,mountain,65.32642
11674.jpg,buildings,98.13115
11678.jpg,glacier,99.97273
1168.jpg,forest,99.92964
11682.jpg,sea,97.25283
11686.jpg,mountain,99.662315
11688.jpg,street,99.97649
1169.jpg,buildings,99.821175
11693.jpg,mountain,97.58448
11695.jpg,mountain,92.1104
117.jpg,mountain,90.34707
1170.jpg,glacier,80.87843
11703.jpg,sea,86.94514
11704.jpg,mountain,87.69805
11705.jpg,street,99.63353
11711.jpg,mountain,99.49635
11715.jpg,street,99.7884
11720.jpg,street,94.57989
11726.jpg,glacier,99.32828
11729.jpg,sea,68.83375
1173.jpg,buildings,99.854904
11730.jpg,buildings,99.835205
11738.jpg,glacier,84.61369
1174.jpg,buildings,96.12234
11742.jpg,forest,99.98306
11752.jpg,forest,59.416843
11756.jpg,buildings,95.82079
11757.jpg,glacier,98.20187
11758.jpg,street,68.10245
1176.jpg,buildings,54.49146
11761.jpg,mountain,95.129814
11763.jpg,buildings,99.999596
11766.jpg,mountain,97.2673
11767.jpg,forest,99.9978
11769.jpg,glacier,77.03777
11771.jpg,glacier,86.16741
11773.jpg,mountain,83.032074
11776.jpg,buildings,99.96309
11778.jpg,sea,99.97375
11781.jpg,glacier,99.98669
11789.jpg,forest,99.950615
11791.jpg,mountain,77.476425
11792.jpg,buildings,99.93975
11793.jpg,mountain,97.89357
11798.jpg,mountain,93.410995
1180.jpg,forest,99.57709
11802.jpg,forest,99.998024
11805.jpg,street,99.9844
11809.jpg,buildings,82.473526
11811.jpg,mountain,99.17208
11817.jpg,mountain,98.87504
11818.jpg,mountain,56.248768
11819.jpg,glacier,97.55896
11820.jpg,buildings,99.9978
11822.jpg,sea,94.05349
11832.jpg,forest,99.87647
11835.jpg,forest,99.92118
11838.jpg,forest,99.99742
11839.jpg,forest,99.967865
11848.jpg,forest,99.92911
11849.jpg,buildings,99.99795
11853.jpg,glacier,94.11947
11854.jpg,glacier,97.22698
11863.jpg,mountain,53.529644
1187.jpg,sea,99.981255
11870.jpg,glacier,94.00326
11874.jpg,street,99.82772
11879.jpg,buildings,28.839308
11881.jpg,glacier,97.12685
11884.jpg,sea,99.912865
11885.jpg,street,96.83671
11886.jpg,street,99.978966
11890.jpg,street,69.15859
11891.jpg,sea,99.9616
11895.jpg,buildings,99.7662
11897.jpg,buildings,99.915245
119.jpg,glacier,89.172295
1190.jpg,sea,88.5557
11900.jpg,street,99.95274
11901.jpg,street,91.38419
11903.jpg,buildings,99.90152
11904.jpg,buildings,99.94867
11907.jpg,sea,69.420006
11909.jpg,street,99.31427
11912.jpg,sea,98.3275
11915.jpg,street,98.92778
11916.jpg,sea,99.94884
11919.jpg,street,95.94145
11920.jpg,sea,98.13906
11930.jpg,glacier,72.062515
11935.jpg,glacier,99.89797
11942.jpg,sea,91.64299
11948.jpg,mountain,64.44556
11949.jpg,forest,99.05562
11950.jpg,sea,99.439384
11953.jpg,glacier,48.064934
11958.jpg,forest,99.98872
11962.jpg,forest,99.887924
11965.jpg,mountain,86.01631
11968.jpg,street,99.992516
1197.jpg,forest,99.85731
11971.jpg,buildings,99.737595
11972.jpg,buildings,98.48648
11975.jpg,glacier,99.98826
11983.jpg,buildings,99.90251
11984.jpg,forest,99.9995
11995.jpg,glacier,65.673546
11996.jpg,forest,99.688545
11997.jpg,sea,95.30642
11998.jpg,sea,99.43882
1200.jpg,mountain,81.28901
12006.jpg,sea,99.980255
12012.jpg,street,99.99776
12015.jpg,glacier,99.946396
12017.jpg,buildings,99.84628
1202.jpg,glacier,99.31503
12022.jpg,glacier,99.90732
12023.jpg,sea,90.734634
12026.jpg,glacier,99.43984
12033.jpg,glacier,80.0916
12036.jpg,buildings,95.65118
12037.jpg,forest,99.87569
12041.jpg,mountain,99.05404
12045.jpg,forest,99.993454
12052.jpg,forest,99.99466
12056.jpg,mountain,80.2733
12057.jpg,buildings,99.99258
1206.jpg,buildings,94.76998
12061.jpg,sea,99.94255
12062.jpg,mountain,98.15602
1207.jpg,forest,98.05668
12072.jpg,street,99.92628
12073.jpg,mountain,82.53157
12076.jpg,glacier,97.846436
12078.jpg,sea,99.9768
12079.jpg,sea,99.993065
12080.jpg,buildings,92.85644
12082.jpg,mountain,80.13084
12085.jpg,sea,99.979034
12086.jpg,forest,96.11914
12087.jpg,buildings,99.99951
12088.jpg,glacier,98.05733
12090.jpg,mountain,98.030624
12095.jpg,glacier,87.80699
12098.jpg,glacier,99.58418
12099.jpg,glacier,94.56619
121.jpg,street,99.95769
12100.jpg,buildings,54.21062
12109.jpg,glacier,98.085884
1211.jpg,glacier,91.76386
12112.jpg,glacier,99.77287
12115.jpg,street,99.96928
12124.jpg,buildings,100.0
12128.jpg,buildings,98.60729
12132.jpg,street,98.342705
12133.jpg,sea,94.5302
12137.jpg,mountain,98.5804
12139.jpg,sea,99.9997
1214.jpg,buildings,99.531685
12141.jpg,buildings,99.76019
12150.jpg,street,97.65389
12153.jpg,glacier,99.97181
12155.jpg,sea,99.84154
12163.jpg,buildings,99.99127
12176.jpg,street,99.99854
12180.jpg,forest,99.94345
12182.jpg,street,99.99822
12183.jpg,forest,99.777054
12184.jpg,street,99.97519
12189.jpg,glacier,99.755905
12192.jpg,sea,99.99663
12199.jpg,mountain,62.05809
12201.jpg,mountain,99.66807
12205.jpg,glacier,95.86105
12207.jpg,forest,99.994
12211.jpg,sea,99.94979
12215.jpg,sea,99.803764
1222.jpg,mountain,95.05407
12229.jpg,forest,99.9978
1223.jpg,mountain,74.07333
12234.jpg,street,99.94301
12246.jpg,street,99.89039
12250.jpg,glacier,99.85335
12251.jpg,mountain,95.98921
12253.jpg,glacier,95.1006
12254.jpg,mountain,73.88692
12259.jpg,glacier,97.87019
1226.jpg,forest,99.99244
12261.jpg,street,50.963474
12264.jpg,street,99.999725
12267.jpg,forest,97.84484
12269.jpg,street,99.41678
1227.jpg,sea,98.911354
12271.jpg,buildings,99.834885
12275.jpg,street,99.80336
12276.jpg,glacier,57.61797
12278.jpg,street,97.45121
12279.jpg,glacier,93.75942
12284.jpg,street,99.97968
12285.jpg,forest,99.98923
12286.jpg,buildings,79.54044
12289.jpg,forest,99.5801
12291.jpg,street,99.32735
12293.jpg,street,99.93684
12297.jpg,forest,99.43409
12298.jpg,buildings,99.85079
12302.jpg,sea,99.907875
12305.jpg,mountain,85.69883
12312.jpg,forest,99.99882
12318.jpg,sea,99.63714
12321.jpg,buildings,96.02655
12325.jpg,glacier,98.8313
12326.jpg,glacier,99.90706
12329.jpg,buildings,93.14041
12331.jpg,sea,99.94775
12332.jpg,mountain,65.77959
12334.jpg,sea,68.10138
12335.jpg,forest,99.98493
1234.jpg,buildings,99.95179
12340.jpg,street,99.96772
12341.jpg,forest,96.26976
12347.jpg,buildings,99.103775
12350.jpg,sea,99.97784
12351.jpg,sea,97.37755
12352.jpg,forest,99.75481
12354.jpg,sea,98.92447
12355.jpg,street,98.8815
12356.jpg,sea,81.86293
12359.jpg,buildings,99.975784
12361.jpg,mountain,93.54197
12362.jpg,buildings,99.12232
12363.jpg,buildings,43.005352
12371.jpg,street,99.892944
12373.jpg,glacier,71.34136
12374.jpg,sea,99.61603
12376.jpg,sea,99.863525
12377.jpg,street,98.81499
1239.jpg,mountain,99.51386
12390.jpg,glacier,96.63502
12394.jpg,street,99.359634
12395.jpg,mountain,99.462715
12399.jpg,mountain,83.11273
12402.jpg,buildings,99.13629
12407.jpg,street,99.94673
12409.jpg,street,82.32695
1241.jpg,sea,99.990105
12413.jpg,sea,99.99015
12419.jpg,street,99.91363
12420.jpg,sea,99.49509
12421.jpg,forest,99.48832
12422.jpg,glacier,52.611767
12423.jpg,street,59.525883
12437.jpg,buildings,99.94398
12443.jpg,street,99.38318
12446.jpg,sea,96.48709
1245.jpg,buildings,97.17783
12453.jpg,glacier,35.28849
12459.jpg,sea,99.45321
12461.jpg,glacier,82.488625
12464.jpg,forest,99.65005
1247.jpg,glacier,93.19207
12475.jpg,sea,99.45581
12476.jpg,mountain,61.926926
12480.jpg,street,99.53966
12484.jpg,street,99.81696
12486.jpg,glacier,97.23032
12491.jpg,buildings,95.90881
12497.jpg,glacier,98.88855
12498.jpg,sea,98.20816
12501.jpg,buildings,64.87406
12514.jpg,forest,99.98
12516.jpg,forest,99.99268
12525.jpg,mountain,66.10502
12527.jpg,forest,99.99275
1253.jpg,glacier,92.36256
12537.jpg,sea,99.961945
12541.jpg,mountain,99.56329
12545.jpg,buildings,99.97198
1255.jpg,mountain,98.146965
12550.jpg,sea,98.00325
12553.jpg,street,99.97127
12554.jpg,glacier,82.554634
12557.jpg,mountain,98.120636
12563.jpg,mountain,81.882484
12564.jpg,buildings,99.69383
12573.jpg,buildings,99.993805
12575.jpg,sea,99.15262
12577.jpg,glacier,98.489876
1258.jpg,mountain,91.87237
12582.jpg,forest,99.99007
12586.jpg,mountain,96.15572
12587.jpg,buildings,99.66719
126.jpg,buildings,65.71354
12606.jpg,forest,99.99533
12607.jpg,street,99.78137
12608.jpg,buildings,97.63565
12609.jpg,forest,99.92438
12612.jpg,sea,99.97342
12614.jpg,glacier,80.68465
12625.jpg,mountain,80.899666
12626.jpg,forest,99.9765
12628.jpg,mountain,62.407417
12631.jpg,forest,99.99947
12635.jpg,buildings,85.075745
1264.jpg,forest,99.87356
12642.jpg,glacier,99.73549
12643.jpg,sea,88.87046
12645.jpg,mountain,61.242836
12648.jpg,mountain,88.818474
12650.jpg,glacier,52.266228
12662.jpg,mountain,79.390526
12670.jpg,mountain,97.727875
12675.jpg,sea,99.75083
12677.jpg,buildings,99.98841
1268.jpg,glacier,91.496666
12683.jpg,buildings,99.987015
12686.jpg,glacier,98.12177
12687.jpg,buildings,99.70584
127.jpg,glacier,92.48805
12700.jpg,mountain,99.5593
12707.jpg,mountain,74.093475
12709.jpg,glacier,98.94498
1271.jpg,forest,99.893936
12712.jpg,glacier,98.80611
12715.jpg,mountain,98.66592
12722.jpg,street,99.98396
12724.jpg,buildings,98.99685
12725.jpg,street,99.76819
12730.jpg,sea,86.074745
12731.jpg,forest,99.92672
1274.jpg,sea,99.69488
12749.jpg,sea,99.892815
12751.jpg,sea,99.75274
12753.jpg,buildings,98.56487
12756.jpg,buildings,56.11456
1276.jpg,buildings,45.935326
12763.jpg,glacier,97.4363
12764.jpg,mountain,89.68459
12765.jpg,buildings,99.98399
1277.jpg,sea,62.947697
12774.jpg,glacier,96.97741
12778.jpg,sea,99.54152
12781.jpg,street,99.9936
12784.jpg,sea,94.418015
12785.jpg,forest,99.95023
1279.jpg,buildings,99.12259
12791.jpg,street,98.83653
12796.jpg,street,99.96834
12797.jpg,forest,99.95598
12800.jpg,forest,99.91802
12804.jpg,glacier,97.47121
12809.jpg,sea,89.469284
12812.jpg,glacier,99.94992
12813.jpg,forest,99.988556
12816.jpg,street,91.621
12824.jpg,sea,99.89014
12825.jpg,sea,99.984
12828.jpg,glacier,80.07172
1283.jpg,glacier,98.09586
12830.jpg,forest,99.47904
12831.jpg,mountain,52.63674
12832.jpg,glacier,95.30137
12833.jpg,sea,98.16518
12834.jpg,sea,98.78299
12835.jpg,buildings,99.95553
12836.jpg,street,99.627945
12838.jpg,street,99.99752
12841.jpg,buildings,96.60295
12842.jpg,street,95.72652
12844.jpg,sea,84.393974
12847.jpg,buildings,94.81597
12850.jpg,sea,99.87662
12851.jpg,sea,49.061142
12853.jpg,glacier,96.82644
12854.jpg,mountain,98.28209
12856.jpg,buildings,99.997734
12859.jpg,forest,99.982414
12860.jpg,buildings,99.99391
12866.jpg,buildings,92.18277
12867.jpg,glacier,99.77944
12869.jpg,glacier,99.97854
12879.jpg,glacier,94.24323
1288.jpg,glacier,90.88339
1289.jpg,sea,98.05927
12891.jpg,street,93.58623
12894.jpg,mountain,61.120872
12895.jpg,forest,99.79232
12896.jpg,street,99.41942
12899.jpg,buildings,99.999306
129.jpg,sea,98.540565
1290.jpg,mountain,95.29944
12901.jpg,forest,99.94116
12902.jpg,street,97.82778
12911.jpg,forest,99.99849
12914.jpg,street,99.95565
12918.jpg,street,98.15717
12920.jpg,forest,99.9866
